昆山欧尚俱乐部,昆山,江苏省昆山市白马泾路52号曼哈顿国际裙楼三楼 金色雨林,金俊宏,18051892021
莱阳紫金东城俱乐部,莱阳,山东省莱阳市金山大道紫金东城,孟玲,13963882726
兰州西关俱乐部,兰州,甘肃兰州城关区双城门十字西南角陇华三楼（国美对面）,张小燕,15002666567
廊坊新朝阳俱乐部,廊坊,河北省廊坊市广阳区爱民道111号新朝阳商场三楼东侧金色雨林,Ida,18733647584
南昌绿地中央广场俱乐部,南昌,江西省南昌市红谷滩新区绿地中央广场C3栋201室 金色雨林,胡文志,13970068939
南京奥体俱乐部,南京,江苏省南京市建邺区江东中路237号中央商场3楼,翁莉,025-58820922
南通五洲俱乐部,南通,江苏省南通市崇川区五洲国际广场一号门汉堡王二楼金色雨林,唐莉,18168431880
宁波金磐俱乐部,宁波,浙江省宁波市鄞州区嵩江东路795号,张林玲,13705742217
齐市北方新天地俱乐部,齐齐哈尔,黑龙江省齐齐哈尔市龙沙区北方新天地二楼（麦当劳旁边）,范女士,15331893263
秦皇岛世纪港湾俱乐部,秦皇岛,秦皇岛市海港区世纪港湾B座LG层ＢL01商铺国悦府正对面,李晓英,18103357967
日照俱乐部,日照,山东省日照市东港区秦楼街道文登路217号,杨帆,15706337555
厦门吕厝俱乐部,厦门,厦门市思明区湖滨北路229号宏益大厦1层(临吕厝路口) 金色雨林,徐老师,18650008967
厦门市集美吾幼嘉农俱乐部,厦门,厦门市集美区印斗北路188号嘉农商贸城2层234吾幼儿童教育,张志铭,18350231182
厦门双涵俱乐部,厦门,厦门市思明区厦禾路981号双涵天地广场一层 金色雨林,邹宁,18030301513
厦门思北俱乐部,厦门,厦门市思明区湖滨西路10号东方时代广场4楼金色雨林,欧阳水源,13758567720
上虞俱乐部,绍兴,浙江省绍兴市上虞区财富广场2号楼4楼~,周佳玉,18905757891
绍兴银泰俱乐部,绍兴,浙江省绍兴市越城区金帝银泰城惠坊街6幢201金色雨林,徐瑜遥,18611345110
苏州湖东俱乐部,苏州,江苏省苏州工业园区西沈浒路和合众街路口，中海湖滨一号商业街29幢103号（建行隔壁） 金色雨林,谢老师,17715155175
苏州绿宝俱乐部,苏州,江苏省苏州高新区绿宝广场二期步行街东大门2幢1025号 （寄到湖东中心）,谢老师,17715155175
吴江财智俱乐部,苏州,江苏省苏州市吴江区体育路508号财智国际商业中心23幢303,王海华,13512922339
天津凯旋门俱乐部,天津,天津市河西区南京路66号凯旋门大厦一层 金色雨林,郭云龙,13821006669
天津塘沽俱乐部,天津,天津市塘沽区上海道101号好利来二楼 金色雨林,陶淑琴,18606672262
温州欧洲城俱乐部,温州,浙江省温州市鹿城区江滨路欧洲城228号8栋1-12号 金色雨林,应丹凤,15276826594
乌鲁木齐新世界俱乐部,乌鲁木齐,新疆乌鲁木齐市新市区长春中路818号新世界广场二楼金色雨林,郁娅镯,15061836717
无锡茂业俱乐部,无锡,江苏省无锡市梁溪区中山路618号茂业天地亿百店六楼 金色雨林,俞英蓉,13511626699
吾幼直营店,,,,
无锡阳光俱乐部,无锡,江苏省无锡市梁溪区稻香路金星家园18-10号 金色雨林,盛惠,15962699225
盐城凤凰汇俱乐部,盐城,江苏省盐城城南新区凤凰汇商业街区3楼,谢海燕,15251000608
宜兴东九一号俱乐部,宜兴,江苏省宜兴市枫隐路东九一号73幢308-2（西门北侧原售楼处）,彭达,15995389538
义乌北苑俱乐部,义乌,浙江省义乌市北苑街道四季社区望道金街望道路235-17、18、19、20 金色雨林,于希东,13566715909
银川建发现代城俱乐部,银川,宁夏银川市兴庆区解放西街建发现代城东南角三楼金色雨林,马晶晶,18695212777
湛江荣基俱乐部,湛江,广东省湛江市开发区观海路183号荣基广场三楼3F11档,李妍丽,18107599926
重庆南坪俱乐部,重庆,重庆市南岸区南坪西路百联上海城购物中心三楼金色雨林,帅佳希,023-62620588
